"name","region","totalSum","theoretical","practical","development","services","workers","scientists","womenScientists","t25","f25t29","f30t34","f35t39","f40t44","f45t49","f50t54","f55t59","f60t64","f65t69","f70","group","menScientists","theorandpract","young","old"
"ВІДДІЛЕННЯ ФІЗИКО-ХІМІЇ ГОРЮЧИХ КОПАЛИН ІНСТИТУТУ ФІЗИКО-ОРГАНІЧНОЇ ХІМІЇ І ВУГЛЕХІМІЇ ІМ. Л.М. ЛИТВИНЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Львов",3078.6,2790.3,288.3,0,0,49,45,30,4,9,6,3,1,2,6,7,3,2,2,"природничі науки",15,3078.6,25,20
"ІНСТИТУТ БІООРГАНІЧНОЇ ХІМІЇ ТА НАФТОХІМІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",24044.9,20768.3,2789.2,0,487.4,270,186,82,6,26,31,15,16,12,11,24,13,17,15,"природничі науки",104,23557.5,106,80
"ІНСТИТУТ БІОКОЛОЇДНОЇ ХІМІЇ ІМЕНІ Ф.Д.ОВЧАРЕНКА НАН УКРАЇНИ","Киев",4452.7,3759.6,693.1,0,0,72,56,31,0,10,9,3,5,0,2,5,7,4,11,"природничі науки",25,4452.7,27,29
"МІЖГАЛУЗЕВИЙ НАУКОВО-ТЕХНОЛОГІЧНИЙ ЦЕНТР ВИДОБУТКУ РУД І ПЕРЕРОБКИ РІДКІСНИХ, БЛАГОРОДНИХ ТА СУПУТНІХ МЕТАЛІВ НАН УКРАЇНИ","Киев",272.9,0,272.9,0,0,3,2,0,0,0,0,0,1,0,1,0,0,0,0,"природничі науки",2,272.9,1,1
"ІНСТИТУТ КОЛОЇДНОЇ ХІМІЇ ТА ХІМІЇ ВОДИ ІМ.А.В.ДУМАНСЬКОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",16997.8,14277.9,2172.8,0,547.1,253,120,74,2,19,18,9,5,9,5,6,15,12,20,"природничі науки",46,16450.7,62,58
"ІНСТИТУТ ПРИКЛАДНИХ ПРОБЛЕМ ФІЗИКИ І БІОФІЗИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",2254.7,1601.1,622.2,0,31.4,58,44,19,3,18,1,0,0,1,0,4,5,6,6,"природничі науки",25,2223.3,23,21
"ІНСТИТУТ ФІЗІОЛОГІЇ ІМ. О.О. БОГОМОЛЬЦЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",29242.6,27867,1375.6,0,0,345,202,98,1,26,30,28,17,21,22,18,14,10,15,"природничі науки",104,29242.6,123,79
"МІЖНАРОДНИЙ ЦЕНТР МОЛЕКУЛЯРНОЇ ФІЗІОЛОГІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",1843.2,1710.3,132.9,0,0,33,15,7,0,0,2,3,2,2,0,2,4,0,0,"природничі науки",8,1843.2,9,6
"ІНСТИТУТ МОЛЕКУЛЯРНОЇ БІОЛОГІЇ І ГЕНЕТИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",38049.6,21866.7,5611.3,0,10571.6,387,314,193,0,44,42,36,24,33,32,30,24,28,21,"природничі науки",121,27478,179,135
"ІНСТИТУТ БІОХІМІЇ ІМ. О.В.ПАЛЛАДІНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","Киев",25136.8,20328.8,2192.6,1432.5,1182.9,371,238,146,9,21,17,25,23,18,28,29,19,25,24,"природничі науки",92,22521.4,113,125
